deb,9996536,9426,8,23
dec,9952753,9806,12,21
ded,9409854,8793,248,357
dee,9678121,8559,118,209
def,9853127,10011,165,235
deg,9804287,6930,243,370
dfa,9819709,10377,205,395
dfb,9479731,11525,55,83
dfc,9987861,7147,373,587
dfd,9791403,8803,154,357
dfe,9832013,8908,212,319
dff,9874377,8677,50,80
dfg,9899637,9690,137,257
dga,9962259,9793,153,328
dgb,9854962,10004,16,61
dgc,9813912,8514,143,232
dgd,9893761,9552,299,430
dge,9937971,8065,117,242
dgf,9476180,8615,26,74
dgg,9980370,8769,83,228
eaa,9912856,7980,71,169
eab,9828879,8365,339,720
eac,9889851,8860,190,305
ead,9785750,10075,114,241
eae,9785930,8912,40,67
eaf,9894877,7789,398,1074
eag,9862036,10392,65,236
eba,9817104,8562,171,240
ebb,9995872,9672,71,98
ebc,9773034,7986,85,120
ebd,9781581,8348,65,108
ebe,9121269,8395,23,62
ebf,9854957,10279,120,338
ebg,9844889,8089,98,209
eca,9959206,8804,116,210
ecb,9873271,9683,6,14
ecc,9965647,8070,176,316
ecd,9968779,7623,90,250
ece,9652287,8717,19,42
ecf,9772678,11068,351,785
ecg,9916031,8075,13,60
eda,9713273,8403,26,88
edb,9990899,9943,199,322
edc,9912401,8811,219,428
edd,9992322,7057,53,77
ede,9971559,10670,342,510
edf,9718354,11023,14,59
edg,9874760,9335,88,243
eea,9808194,10278,119,223
eeb,9988709,9809,135,205
eec,9970286,9090,215,427
eed,9756197,9412,30,84
eee,9859837,9093,109,170
eef,9746357,9088,34,92
eeg,9538534,8200,148,231
efa,9909717,8112,12,44
efb,9784352,7654,27,83
efc,9558031,10011,83,284
efd,9666607,9045,178,335
efe,9845334,7901,46,120
eff,9820604,8991,24,77
efg,9966202,8953,37,84
ega,9888637,9780,139,310
egb,9798495,8781,171,296
egc,9952491,8035,156,272
egd,9577432,10994,187,374
ege,9834845,8779,132,357
egf,9933091,9816,201,379
egg,9848529,8669,72,153
faa,9976430,8234,125,189
fab,9903237,8556,18,42
fac,9937808,8830,146,338
fad,9952693,8560,346,477
fae,9962511,9959,92,297
faf,9966059,9988,41,64
fag,9945568,9413,96,206
fba,9612670,9833,31,50
fbb,9830563,7698,20,38
fbc,9964219,8361,181,357
fbd,9964414,9986,167,270
fbe,9715872,8983,5,8
fbf,9640576,8771,187,326
fbg,9658776,9040,47,155
fca,9825782,9005,54,155
fcb,9857415,8809,9,19
fcc,9912003,9013,186,336
fcd,9917858,8574,95,220
fce,9970134,9712,246,426
fcf,9905633,8114,199,361
fcg,9655276,9542,6,26
fda,9981400,7504,34,64
fdb,9996657,8907,79,181
fdc,9969535,8216,441,664
fdd,9905475,7138,93,167
fde,9976193,9953,10,43
fdf,9876501,8846,32,89
fdg,9978114,9095,58,184
fea,9951441,7431,291,428
feb,9698245,10408,88,277
fec,9980290,8708,121,312
fed,9951834,9060,368,652
fee,9718991,8127,9,46
fef,9991745,9169,186,292
feg,9977447,8978,56,115
ffa,9947523,10477,50,117
ffb,9846735,10759,130,270
ffc,9737316,8392,138,267
ffd,9949471,10610,133,219
ffe,9762427,9208,30,147
fff,9805455,8572,18,59
ffg,9981937,7444,15,44
fga,9632739,8017,124,212
fgb,9606637,9558,5,11
fgc,9927612,8786,266,495
fgd,9989833,8039,152,267
fge,9887219,10143,338,926
fgf,9993531,9435,394,577
fgg,9908770,8901,31,51
gaa,9927052,8457,188,315
gab,9714653,12644,33,83
gac,9929279,10576,396,785
gad,9299785,10149,147,214
gae,9415778,9965,146,385
gaf,9899836,11386,144,247
gag,9922950,7663,61,140
gba,9555288,7846,57,139
gbb,9973471,8776,41,127
gbc,9872100,8181,31,55
gbd,9865315,9736,25,119
gbe,9980949,7127,139,273
gbf,9835172,8662,169,255
gbg,9915939,9390,145,380
gca,9858439,9146,129,291
gcb,9995778,7465,152,372
gcc,9856956,9096,193,311
gcd,9787882,9173,98,261
gce,9927386,8809,88,131
gcf,9882575,8724,296,958
gcg,9799323,9736,44,182
gda,9598270,9583,200,277
gdb,9870900,8896,95,189
gdc,9903245,8022,119,214
gdd,9783778,8494,6,17
gde,9888866,8259,71,106
gdf,9961953,7617,124,181
gdg,9787882,9052,129,236
gea,9980325,8529,122,237
geb,9987567,8735,41,101
gec,9697465,7773,148,397
ged,9795749,9111,126,320
gee,9993013,7864,72,117
gef,9181386,8795,61,228
geg,9814443,8416,151,247
gfa,9898574,8050,94,159
gfb,9669121,8688,99,205
gfc,9917848,7903,163,302
gfd,9890958,8008,139,194
gfe,9978305,8537,23,60
gff,9605884,8385,218,297
gfg,9906557,7663,413,629
gga,9728448,8832,5,5
ggb,9951870,9798,12,39
ggc,9959696,7822,275,419
ggd,9960217,8662,52,155
gge,9834094,7261,182,274
ggf,9918706,10196,101,272
ggg,9941919,8827,35,92
